,strain,about
98,G-13,https://www.wikileaf.com/strain/g-13/
99,Holy Grail Kush,https://www.wikileaf.com/strain/holy-grail-kush/
100,Island Sweet Skunk,https://www.wikileaf.com/strain/island-sweet-skunk/
101,Mendo Breath,https://www.wikileaf.com/strain/mendo-breath/
102,Jillybean,https://www.wikileaf.com/strain/jillybean/
103,Lemon Kush,https://www.wikileaf.com/strain/lemon-kush/
104,Orange Crush,https://www.wikileaf.com/strain/orange-crush/
105,Mendocino Purps,https://www.wikileaf.com/strain/mendocino-purps/
106,Platinum OG,https://www.wikileaf.com/strain/platinum-og/
107,Master Kush,https://www.wikileaf.com/strain/master-kush/
108,Ice Cream,https://www.wikileaf.com/strain/ice-cream/
109,MAC 1,https://www.wikileaf.com/strain/mac-1/
110,Sundae Driver,https://www.wikileaf.com/strain/sundae-driver/
111,Bio Jesus,https://www.wikileaf.com/strain/bio-jesus/
112,Brownie Scout,https://www.wikileaf.com/strain/brownie-scout/
113,Obama Kush,https://www.wikileaf.com/strain/obama-kush/
114,Goji OG,https://www.wikileaf.com/strain/goji-og/
115,Larry OG,https://www.wikileaf.com/strain/larry-og/
116,Black Widow,https://www.wikileaf.com/strain/black-widow/
117,Papaya,https://www.wikileaf.com/strain/papaya/
118,Nerds,https://www.wikileaf.com/strain/nerds/
119,Jet Fuel,https://www.wikileaf.com/strain/jet-fuel/
120,Bubblegum,https://www.wikileaf.com/strain/bubblegum/
121,MK Ultra,https://www.wikileaf.com/strain/mk-ultra/
122,White Rhino,https://www.wikileaf.com/strain/white-rhino/
123,Violator Kush,https://www.wikileaf.com/strain/violator-kush/
124,Colombian Gold,https://www.wikileaf.com/strain/colombian-gold/
125,Trinity,https://www.wikileaf.com/strain/trinity/
126,Animal Cookies,https://www.wikileaf.com/strain/animal-cookies/
127,Slurricane,https://www.wikileaf.com/strain/slurricane/
128,Gorilla Cookies,https://www.wikileaf.com/strain/gorilla-cookies/
129,Lavender,https://www.wikileaf.com/strain/lavender/
